token_id,gene_id
938,ENSMUSG00000006585
939,ENSMUSG00000006586
940,ENSMUSG00000006587
941,ENSMUSG00000006589
942,ENSMUSG00000006599
943,ENSMUSG00000006611
944,ENSMUSG00000006638
945,ENSMUSG00000006641
946,ENSMUSG00000006642
947,ENSMUSG00000006649
948,ENSMUSG00000006651
949,ENSMUSG00000006673
950,ENSMUSG00000006675
951,ENSMUSG00000006676
952,ENSMUSG00000006678
953,ENSMUSG00000006699
954,ENSMUSG00000006705
955,ENSMUSG00000006711
956,ENSMUSG00000006715
957,ENSMUSG00000006717
958,ENSMUSG00000006724
959,ENSMUSG00000006728
960,ENSMUSG00000006731
961,ENSMUSG00000006732
962,ENSMUSG00000006736
963,ENSMUSG00000006740
964,ENSMUSG00000006763
965,ENSMUSG00000006764
966,ENSMUSG00000006777
967,ENSMUSG00000006782
968,ENSMUSG00000006784
969,ENSMUSG00000006800
970,ENSMUSG00000006818
971,ENSMUSG00000006850
972,ENSMUSG00000006906
973,ENSMUSG00000006920
974,ENSMUSG00000006930
975,ENSMUSG00000006931
976,ENSMUSG00000006932
977,ENSMUSG00000006941
978,ENSMUSG00000006948
979,ENSMUSG00000006958
980,ENSMUSG00000006998
981,ENSMUSG00000007021
982,ENSMUSG00000007030
983,ENSMUSG00000007033
984,ENSMUSG00000007034
985,ENSMUSG00000007035
986,ENSMUSG00000007036
987,ENSMUSG00000007038
988,ENSMUSG00000007039
989,ENSMUSG00000007041
990,ENSMUSG00000007050
991,ENSMUSG00000007080
992,ENSMUSG00000007097
993,ENSMUSG00000007107
994,ENSMUSG00000007122
995,ENSMUSG00000007207
996,ENSMUSG00000007279
